channel_id,title,description,custom_url,country,created_at,subscriber_count,total_views,video_count,hidden_subscriber_count,keywords,collected_at,niche
UCbLhGKVY-bJPcawebgtNfbw,Altcoin Daily,"Subscribe to Altcoin Daily, the largest crypto community in the world!

We cover Bitcoin, Ethereum, Cardano, NFTs, altcoins, metaverse, mining, trading, investing, technology, Web3, & everything crypto related. Our personal goal is to use altcoins to stack more Bitcoin.

Altcoin Daily is run by brothers Aaron & Austin Arnold.

Videos are NOT offers to buy or sell securities. Videos are not 'buy' or 'sell' signals of any kind. ALL videos are for informational and entertainment purposes only. Inve",@altcoindaily,US,2018-01-29T23:47:18Z,1660000,284041399,3471,False,"""Altcoin Daily"" Altcoin Crypto Cryptocurrency blockchain bitcoin ethereum xrp daily news investing price market analysis ""bull run"" crash best invest austin aaron podcast ""top altcoins"" ""best investments"" cryptocurrency ""cryptocurrency news"" ""bitcoin news"" ""cryptocurrency news"" ""bitcoin news"" ""cryptocurrency news media online"" dogecoin ""coin bureau"" coinbase gaming solana trading trade money rich retire cryptosrus ""bitcoin today"" ""bitcoin price"" cnbc ""cnbc bitcoin"" bloomberg blackrock cryptosrus",2025-12-25T07:31:32.474817,finance
UCxB7jMnHekMzHsOl9iZpXrA,Danny Rayes,"Follow My Other Socials👇🏽


",@dannyrayes,US,2023-01-19T09:52:07.066121Z,1860000,5313718383,2476,False,,2025-12-25T07:31:33.141860,finance
UCAn8NrZ-J4CRfwodajqFYoQ,BotezLive,two sisters who like chess and chaos :),@botezlive,US,2018-04-08T07:36:27Z,1890000,1103731145,980,False,"alexandra botez chess ""alexandra botez"" ""andrea botez"" gmhikaru magnus twitch lsf ""botez sisters""",2025-12-25T07:31:34.116479,finance
UCLdLVA4iiC6x22Rb0_-R0nQ,Explains 101,"Welcome to Explains 101, where complex financial topics are simplified into clear and easy-to-understand explanations. The goal is to make financial concepts understandable to everyone, from kids to adults, and even those who are completely new to the subject. Learning about finance is made easy, no matter where the starting point is!

Why subscribe?
1. Easy explanations
2. Fun and engaging visuals
3. Wide range of topics

Join and make learning simple and fun. Subscribe now :)",@explains101,Unknown,2024-05-22T08:40:53.381008Z,302000,14427907,68,False,,2025-12-25T07:31:34.876819,finance
UCj7cny5FsrDD2AdLntePeiQ,Balraj Trading Tech,"Welcome to our channel -

""Balraj Trading Tech.."", Very happy to see you guys here.. 😊🙏🏻

We Are Price Action Trainer And We Daily Teach Price Action (Chart Reading) in live market Also we are Price Action Master & we are stocks investor for short term & Long Term👍👍👍

Fraud  Alert 🚨 - Balraj Trading Tech is not providing any paid services no call tips no paid groups no courses, we are pure price action Trainer we are providing Teaching of chart reading in Live Market on different charts so be al",@balrajtradingtech,IN,2023-01-11T17:16:47.706076Z,194000,7476387,858,False,"cryptotrading ""crypto live trading"" bitcoin ethereum ""Gold trading"" ""live crypto trading"" livecryptotrading gold ""bitcoin trading"" ""live bitcoin trading"" ""live trading"" balrajtradingtech livegoldtrading cryptolivetrading balrajtradinglive livetrading goldtrading cryptolivetrading BTC btc ""btc live"" ""btc live trading"" ""crypto live"" eth trading ""stock market"" ""share market"" ""btc live trading"" ""btc live trading today""",2025-12-25T07:31:35.568837,finance
UCnMku7J_UtwlcSfZlIuQ3Kw,Dan Gambardello,"Subscribe to Crypto Capital Venture for daily crypto market analysis and crypto news.

I cover crypto charts and news, including Bitcoin, Cardano, XRP, Ethereum, Matic, and many other altcoins. My coverage stems from years of both on chain and charting data as it pertains to Bitcoin and crypto cycles.

Follow me on Twitter - Dan Gambardello Official Twitter: @cryptorecruitr

*My content references an opinion and is for news/information and entertainment purposes only. It is not intended to be in",@cryptocapitalventure,US,2017-12-06T02:54:23Z,403000,61547448,2746,False,"crypto cryptocurrency altcoin bitcoin cardano ethereum xrp ""daily news"" daily news investing ""crypto investing"" price ""dan gambardello"" cryptosrus coinbase defi ""invest in crypto"" ""invest in bitcoin"" ""crypto news"" ""cryptocurrency news"" ""btc crypto"" ""ada crypto"" ""altcoin daily"" ""crypto news"" altcoins ""altcoin bull market"" ""crypto today"" ""crypto news today"" ""bitcoin price"" ""bitcoin btc""",2025-12-25T07:31:36.326016,finance
UCVd8rY6R92M6F3EM5Qa8qrw,Seemlify,"The BEST Link in Bio Tool ever build 

2x your Link in Bio CTR in seconds by clicking the link down below

",@seemlify,IT,2024-10-17T03:57:52.501254Z,21100,15294740,113,False,"cybervault cyber hacking vault viral ryan montgomery shawn ryan ""ryan montgomery"" ""shawn ryan"" pbd ""pbd podcast"" valutainement hack",2025-12-25T07:31:37.244020,finance
UCqK_GSMbpiV8spgD3ZGloSw,Coin Bureau,"The Coin Bureau is your go-to informational portal to the Cryptocurrency galaxy.

Our mission is to facilitate the mass adoption of cryptocurrency through education, one person at a time.

For business inquiries, please reach out to us on partners(at)coinbureau(dot)com. 

NB: We will NEVER reach out to you in unsolicited emails or texts / messages.
",@coinbureau,AE,2019-01-16T14:31:55Z,2730000,296444628,1753,False,"cryptocurrency ""crypto education"" bitcoin blockchain ""crypto analysis"" ""crypto investing"" altcoins ""decentralised finance"" defi ""crypto news"" ""crypto regulation"" ""money and finance"" ""digital assets"" ""crypto wallet reviews"" exchanges ""long term investing"" ""coin bureau"" ""crypto trading"" money finance depin ""live trading"" ""crypto news today"" ""crypto tutorials"" ""crypto for beginners"" ""how to buy crypto""",2025-12-25T07:31:37.949355,finance
UCLHX_eEa8XILo7zIr1cNkvw,Ponke,"Official YouTube channel for PONKE 🐒🪖
https://www.223.world/ripndipxponke
https://t.me/PonkeHQ
https://x.com/ponkehq
https://shop.ponke.xyz/
https://moonshot.money/PONKE?ref=g8uB1EqAma
",@ponkehq,US,2024-04-25T12:44:06.000854Z,91200,46847382,188,False,"ponke ponkesol solana ethereum bitcoin crypto cryptocurrency ""crypto currency"" ""meme coin"" memecoin doge dogecoin ""doge coin"" ""stock chart"" ""wallstreet bets"" ""wall street bets"" wsb btc eth sol ""day trading"" coinbase robinhood binance trading ""crypto news"" ""market trends"" investing invest meme memes fartcoin ""meme coins"" trump ""trump coin"" funny comedy pepecoin trader stonks ""meme stock"" xrp ada cardano defi altcoin altcoins investor ""alt coin"" ""alt coins"" memecoins base ""base chain"" investment",2025-12-25T07:31:38.611142,finance
UCGy7SkBjcIAgTiwkXEtPnYg,Andrei Jikh,"I will NEVER contact you for business or promotions (even if it comes from my legit email). I will not use IG, Telegram, or whatsapp to reach out - please ignore and report those accounts. 

I'm like Harry Potter - if he was a financial minimalist, did card tricks and worried about money. Biz inquiries: andrei@majikh.com
",@andreijikh,US,2017-03-24T00:43:42Z,2940000,376977446,1046,False,"dividends investing robinhood passive income dividend stocks cardistry webull ""passive income"" minimalism ""m1 finance"" ""stock market"" investing ""andrei jikh""",2025-12-25T07:31:39.317297,finance
