channelId,title,country,publishedAt,subscriberCount,viewCount,videoCount
UC1GBKv15keKOgHbEBEMeo9w,NairametricsTV,NG,2019-03-15T13:50:01Z,38600,2399944,1816
UC04_rUstP7vyLANZ0rJYz_A,The Deep Dive,CA,2020-06-03T14:57:03.250766Z,49000,13558599,3361
UCGa6DnI3kLcsa9Qx0fMC2dg,Investor Intellect,US,2023-08-25T16:13:35.680279Z,30300,2651667,277
UCOW75q0KKLBjnU0O0JoP_hQ,Aswin on Finance,IN,2012-05-22T02:03:27Z,34300,10580961,185
UCB5qrc1vKvQEYhzhhTraC-Q,iDream Careers,IN,2023-05-24T12:48:43.203093Z,13300,2355175,1338
UC62gxZn8QQ1hSD4dSy8keNQ,Raniga Bros,GB,2021-12-11T15:15:03.872845Z,61700,32218239,206
UCEHXGvwJADoFOYkHY_N7TxQ,GreatMasterMind,HR,2022-11-18T20:25:34.527825Z,32400,13596787,352
UC6fGRfS9LNsekXF9IAdNp9w,Rational Rahul - Telugu,CA,2023-04-04T15:23:33.975564Z,24800,7384820,529
UC2A2qOOXYF0b2SVbrzrN1Ow,Stacking Surfer 🏄,US,2022-01-27T02:28:19.146341Z,16900,1815192,788
UCFddgboLcMQ4IUE681qvcqg,GoldCore TV,IE,2009-09-21T13:22:27Z,60900,8662375,782
UCPRmFsWPlkvtrbC008Wg5Cw,Sahi Trade,IN,2021-07-24T08:08:24.113144Z,39100,7593760,631
UCrlFUp4OtXJSiDfiPMFnk3A,Clive Thompson,CH,2023-03-06T19:35:48.260779Z,60800,2658829,122
UCS1f3GtMm7mDTN283EKbnlQ,Vaani Wealth,IN,2025-01-21T09:34:42.265597Z,18700,22264403,235
UCk9XxcYST51nPWDWc-TR9GQ,Kamal Pandey,AE,2013-08-02T01:12:50Z,13700,10291826,452
UCYMlfhqdDICw_vadSDiOpug,Think Always Big,IN,2025-01-10T12:03:49.719015Z,31200,27060263,443
UCSMGATwfBOPyy5gel_HH2Cw,FutureInvestments,GB,2021-08-23T13:51:25.678005Z,10600,2623737,517
UCZq21QF69O5bdV43HGmYBzg,QUICKER Maths,IN,2022-07-08T13:17:17.15375Z,47600,13934519,1103
UCcTMSkatgiy3cg3lbTnssVA,Fundamentals of Finance,US,2021-12-01T15:51:37.970765Z,22800,1733733,561
UCiuE9YB2QvFqENARD3E7F2A,Fellas Finance,GB,2013-01-05T22:37:13Z,12100,1016688,231
UCPT1bWDNX2LjosHcHQe-9wQ,Financially Aware,US,2019-09-30T21:02:57Z,34900,4348513,416
UCdZxSkbFjOq7dKGKYalciYw,Sovereign Saurus,GB,2020-05-25T08:52:48.877228Z,11300,2184974,389
UCsSKCyeRjlAc-YCertoRrAQ,Amit Upadhyaya,IN,2024-11-25T07:48:25.956097Z,47000,2090956,35
UCuA2G-T1WmPRCHwDb713pVQ,Moneytalks by Groww,IN,2025-04-30T11:54:10.171541Z,75700,6762908,120
UCwckdyda6IQVpmlgVw-QJCw,Pickins Hub,GH,2022-04-12T23:01:13.493987Z,59700,1637888,164
UCzyS_07zjDqc0ngdiAbLB7A,Chahal Vermaa ,,2020-05-04T21:44:29.01038Z,27300,1682895,276
