channelId,title,country,publishedAt,subscriberCount,viewCount,videoCount
UC9fbHs8MCffFJkEqfFCt-TQ,Two chairs,GE,2025-07-02T12:52:10.809544Z,91100,42608948,21
UCLQOtbB1COQwjcCEPB2pa8w,Udayan Adhye,IN,2024-01-26T07:27:47.752791Z,88800,15540581,390
UCqhzVsnH1UqlxEtu4p9vM6g,PolicyX,IN,2014-07-23T05:46:43Z,77200,20267596,821
UCuA2G-T1WmPRCHwDb713pVQ,Moneytalks by Groww,IN,2025-04-30T11:54:10.171541Z,75700,6762908,120
UC_A48syjVk95mRI8OefUR7g,Himani Chaudhary,IN,2021-05-23T13:05:12.176645Z,70500,7578679,307
UCA-rvysNucUx8jB7_evcSew,Kiana Danial - Invest Diva,US,2011-01-07T21:31:24Z,65000,6329073,1033
UC62gxZn8QQ1hSD4dSy8keNQ,Raniga Bros,GB,2021-12-11T15:15:03.872845Z,61700,32218239,206
UCHBOO9G9bGfebyxMhToGb8Q,The Financial Economics,IN,2021-04-09T06:31:39.946682Z,50500,7005989,617
UCsYH0SOA_DLBJu7hlYqFhXA,Rich Homie Quan - Topic,,2013-12-13T19:16:18Z,43700,592846685,825
UCFWexqyJ3MXG7HDoXxH5ZYA,The Wealth Circle,US,2022-08-02T18:33:50.310122Z,36200,14753400,311
UCG9c0SPsyfPipPvP3NFUvAg,Atul Agrawal ,IN,2023-08-11T04:00:43.130766Z,35800,12749135,323
UCKEXuFtSzVbUZK60z2rzNhQ,Research Daddy - Telugu,IN,2025-02-06T06:03:07.048548Z,25300,36581344,172
UCS1f3GtMm7mDTN283EKbnlQ,Vaani Wealth,IN,2025-01-21T09:34:42.265597Z,18700,22264403,235
UCVZSrgr6QDPyG44nB-43_2g,Tech Rakesh,IN,2020-05-16T20:23:42.792595Z,13100,8994518,307
UCcDliYrG4q4xc5Ke6KtyV3w,Rob The Investor - Investing In Stocks,US,2017-07-09T18:36:04Z,10900,1430615,557
