channelId,title,country,publishedAt,subscriberCount,viewCount,videoCount
UCa4BNrOmEqXlkTvf0TSdfvg,Sam's Wallet,,2023-07-28T20:01:30.414833Z,94100,19776498,75
UC7TEgC3UwJ2wI6m40rJOAFA,Analyzing Finance with Nick,US,2019-08-12T01:44:02Z,92900,5786300,461
UCLQOtbB1COQwjcCEPB2pa8w,Udayan Adhye,IN,2024-01-26T07:27:47.752791Z,88800,15540581,390
UCp_yYqQg20J-9zYW-7klBNQ,Binge Wealth ,,2024-08-19T14:04:24.064374Z,77800,32573424,315
UCwt3tsaJwkL4lbtC7aYVBVw,Mr Yenom,,2025-06-24T03:07:41.163277Z,73000,53606036,11
UC_A48syjVk95mRI8OefUR7g,Himani Chaudhary,IN,2021-05-23T13:05:12.176645Z,70500,7578679,307
UCVhLjuXs5z5ZYJBxpeRbI1g,NorthStar Academy,IN,2018-04-04T06:26:13Z,60100,60190476,1302
UCoO1dS6Eml7VwK8eIc64Lwg,The Kitab Official,,2024-01-01T12:13:03.358611Z,57600,15061952,547
UCAQpvfptgfkFuFJI2_fmveA,IPO Review by Groww,IN,2024-09-03T14:59:46.256704Z,53300,3288350,252
UCJ5hyeKm6-Sw-Kn7qT9jLgw,Tech Groove,,2021-03-17T09:48:33.800844Z,49900,87301376,167
UCfVoRixb6FlrLa02TBDnTrg,Cash Flow,US,2016-03-26T16:11:03Z,46100,61255810,414
UC6rM1UG3BE6_x3sqAuA-qMA,TOGI,,2024-06-06T17:11:51.022748Z,38300,173120431,1565
UC-R3etkvm1fzXobn7-ntH6w,Beyondbeautybyshannon,,2012-05-26T15:42:54Z,36600,28356969,344
UC4qtVl1kpaKhNPd_AgeS5Dw,Real Deal Futures,,2022-12-01T18:21:21.449881Z,13600,15555443,1664
UCul32mx3ml9CNUEwHD_GwdQ,My Finance Empire,MT,2023-07-13T21:37:23.30091Z,2170,616064,369
UCHZUr583uEIeCzu_PJTcbtw,Taxsec,IN,2022-11-30T18:46:01.990971Z,1880,831247,176
UC-gGR30H7MUZy2Rg9GiDMQg,Stock Market Simplified,NL,2024-08-09T12:00:31.408416Z,909,330207,27
UC3oMbJw4Na8Wzc6Pko_DnKw,Finance Master,US,2025-10-06T18:55:10.058823Z,375,25407,3
