channelId,title,country,publishedAt,subscriberCount,viewCount,videoCount
UCbLhGKVY-bJPcawebgtNfbw,Altcoin Daily,US,2018-01-29T23:47:18Z,1660000,284041399,3471
UCxB7jMnHekMzHsOl9iZpXrA,Danny Rayes,US,2023-01-19T09:52:07.066121Z,1860000,5313718383,2476
UCAn8NrZ-J4CRfwodajqFYoQ,BotezLive,US,2018-04-08T07:36:27Z,1890000,1103731145,980
UCLdLVA4iiC6x22Rb0_-R0nQ,Explains 101,,2024-05-22T08:40:53.381008Z,302000,14427907,68
UCj7cny5FsrDD2AdLntePeiQ,Balraj Trading Tech,IN,2023-01-11T17:16:47.706076Z,194000,7476387,857
UCnMku7J_UtwlcSfZlIuQ3Kw,Dan Gambardello,US,2017-12-06T02:54:23Z,403000,61547448,2746
UCVd8rY6R92M6F3EM5Qa8qrw,Seemlify,IT,2024-10-17T03:57:52.501254Z,21100,15294740,113
UCqK_GSMbpiV8spgD3ZGloSw,Coin Bureau,AE,2019-01-16T14:31:55Z,2730000,296444628,1753
UCLHX_eEa8XILo7zIr1cNkvw,Ponke,US,2024-04-25T12:44:06.000854Z,91200,46847382,188
UCGy7SkBjcIAgTiwkXEtPnYg,Andrei Jikh,US,2017-03-24T00:43:42Z,2940000,376977446,1046
UCubuFNUSGnR2r2MkAiZGRiQ,Profit First,IN,2021-10-11T03:18:06.659671Z,62800,6436860,2210
UCRvqjQPSeaWn-uEx-w0XOIg,Benjamin Cowen,US,2019-06-14T05:33:32Z,969000,150765475,2813
UCBhORXMwPfJtNtsZcUJHO6w,Thomas Kralow,US,2020-05-21T13:48:32.407965Z,520000,55594957,1573
UCq8DICunczvLuJJq414110A,Zach King,US,2013-10-14T22:36:25Z,42800000,22511702122,825
UC7ndkZ4vViKiM7kVEgdrlZQ,Crypto Crew University,US,2017-05-29T18:53:00Z,412000,54555883,1137
UCJxiyziwbma-0t5dCW-1OGw,DustyBC Crypto News,AE,2011-12-03T13:05:12Z,186000,41999968,5358
UCBCbEDO5tMP6saX9yNU_zYQ,Lab Of Crypto,VG,2021-12-05T20:18:42.293365Z,176000,6584012,343
UCNxmehN8BqmjdjVVY-CIDng,Molt Media,,2020-03-29T17:44:24.981732Z,65500,21138019,1561
UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,US,2018-05-29T15:09:14Z,3310000,2514668808,151666
UCIHdDJ0tjn_3j-FS7s_X1kQ,Valuetainment,US,2012-11-10T01:45:06Z,7090000,3143949600,10545
UC9o-KkHtUgAaakX1773UVMw,Zach Humphries,US,2012-07-22T22:09:25Z,205000,52261710,8280
UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,GB,2011-04-20T12:10:24Z,22000000,8054703641,1866
UCBkGMys0mYl3Myxh3CTsASA,MMCrypto,AE,2017-09-10T22:44:58Z,621000,114436043,1781
UCOb8ZvB7CK7-IEf-8RmhULg,CRYPTO with KLAUS,US,2020-12-11T00:40:45.975747Z,53000,20248122,3242
UCJk3wsIuHRzCTdKUZykIK8A,Layah Heilpern,,2012-02-26T20:24:26Z,467000,210303896,1083
UCB8sMtMOYVY_m6jYZcnQdUA,Blockchain Basement,US,2022-10-17T19:28:17.822945Z,82000,46190480,1995
UCQhF4_APYzL4l8m_Th_59Nw,The Simple Trader,US,2010-03-14T18:48:34Z,159000,15249268,301
UCojKnjrW3D5wT81MMm8l4EA,The House Of Crypto,GB,2018-07-07T02:26:02Z,298000,27204971,1224
UCO7dBj4bwaDOMoX-kKYF2Ww,Atozy,US,2012-03-09T15:01:30Z,1940000,645810676,1497
UC4VPa7EOvObpyCRI4YKRQRw,Paul Barron Network,US,2011-03-11T14:58:58Z,2120000,104916038,2654
UCd-Rt1oQGAVjOdwPVYsZbjQ,Road To $1 Million USD,,2024-02-26T09:59:04.945459Z,17000,1734269,553
UCsu-BlV8FLI6piu4RQPjLxg,Jake Claver,US,2023-01-10T00:38:04.860974Z,177000,44031574,1645
UCL-QLzGmf468WAL1U-9g0qA,Craig Percoco,US,2015-08-23T17:08:52Z,1180000,53848728,634
UCWo-yoYBKbWx71aTRNEakJw,VP Motion,CA,2023-02-20T04:14:44.177463Z,267000,251123991,1558
UCmd7GL4em9-bq53_8mOjqsQ,Baxter Persse,,2015-01-14T06:53:30Z,105000,16195913,40
UCtQycmSrKdJ0zE0bWumO4vA,Digital Asset Investor,US,2018-05-01T14:46:21Z,218000,96829838,5303
UCSbyF4RwCk3AuGhYmykCGOQ,Crypto Insider,US,2025-07-15T12:58:00.556382Z,61500,1728218,32
UCz4XY6NPKaMUWNWMONTw3NQ,Investing Made Simple,GB,2020-06-07T16:32:10.35375Z,265000,26591241,598
UCdAz9h6B4j48m_Z-5q0GehA,Crypto Sensei,US,2022-09-20T16:50:12.565927Z,128000,39489051,1939
