channelId,title,country,publishedAt,subscriberCount,viewCount,videoCount
UCstEtN0pgOmCf02EdXsGChw,ABS-CBN Entertainment,PH,2008-07-16T02:11:59Z,54400000,58203663515,251369
UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,,2009-06-23T16:00:48Z,44000000,8740861855,250917
UC1NF71EwP41VdjAU1iXdLkw,Narendra Modi,IN,2007-10-26T18:09:55Z,29600000,7898808955,32971
UCZSNzBgFub_WWil6TOTYwAg,Netflix India,IN,2016-05-12T23:33:27Z,28300000,14076887959,6368
UCxHoBXkY88Tb8z1Ssj6CWsQ,SOMOY TV,US,2015-10-21T17:23:43Z,28100000,20046572292,273116
UCj5RwDivLksanrNvkW0FB4w,GMA Public Affairs,PH,2009-08-08T02:45:19Z,27700000,18761312691,97353
UCAuUUnT6oDeKwE6v1NGQxug,TED,US,2006-12-06T23:27:08Z,27000000,3082688820,5425
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,DE,2013-07-09T20:17:20Z,24900000,3554509852,331
UCsooa4yRKGN_zEE8iknghZA,TED-Ed,US,2011-03-01T20:33:10Z,22300000,4490712527,2314
UCpko_-a4wgz2u_DgDgd9fqA,BuzzFeedVideo,US,2011-08-10T21:27:29Z,19700000,25439208527,11329
UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,US,2006-08-07T23:12:21Z,19200000,17572071572,108292
UCupvZG-5ko_eiXAupbDfxWw,CNN,US,2005-10-02T16:06:36Z,19000000,19545990535,178656
UCE2606prvXQc_noEqKxVJXA,ABS-CBN News,PH,2009-10-22T09:54:04Z,18800000,13845222451,273478
UCqYw-CTd1dU2yGI71sEyqNw,GMA Integrated News,PH,2007-10-29T13:38:42Z,17800000,14263402730,424324
UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,QA,2006-11-23T14:12:43Z,17000000,6450743357,133761
UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse,US,2006-05-20T02:43:42Z,16800000,2198477746,1668
UCRXiA3h1no_PFkb1JCP0yMA,Vogue,US,2008-06-29T22:48:58Z,16000000,6101718297,5460
UC3iwxKMRg5l2aDG_8XK2nSQ,The Mannii Show,US,2020-12-16T02:05:02.553212Z,15800000,18061166553,5228
UCCj956IF62FbT7Gouszaj9w,BBC,GB,2005-11-12T02:36:31Z,15300000,11826613228,26626
UCNIwyVMzpPsO8Ong4IBeaQw,FASH,US,2022-06-08T20:17:36.203441Z,15300000,6605640045,1123
UCGwu0nbY2wSkW8N-cghnLpA,JaidenAnimations,US,2014-02-17T04:36:14Z,15000000,3060648402,242
UC0QHWhjbe5fGJEPz3sVb6nw,Doctor Mike,US,2016-08-19T02:18:53Z,14500000,4981636955,1145
UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,GB,2019-03-22T21:53:58Z,14100000,1125350692,603
UCJekW1Vj5fCVEGdye_mBN6Q,SAMAA TV,PK,2011-06-14T13:30:37Z,14000000,7716549831,243479
UC9k-yiEpRHMNVOnOi_aQK8w,Inside Edition,US,2012-10-09T00:36:32Z,13800000,25491690893,39425
UCFKE7WVJfvaHW5q283SxchA,Yoga With Adriene,US,2012-08-30T16:59:10Z,13400000,1672591834,791
UCkJEpR7JmS36tajD34Gp4VA,Psych2Go,US,2014-10-05T06:27:31Z,12900000,2046584648,3853
UCftwRNsjfRo08xYE31tkiyw,WIRED,US,2005-09-23T03:09:26Z,12600000,4701400512,4126
UCcYzLCs3zrQIBVHYA1sK2sw,Sadhguru,IN,2007-03-28T06:45:46Z,12500000,1972128342,4674
UCbaGn5VkOVlcRgIWAHcrJKA,Cut,US,2014-10-29T19:59:06Z,12300000,5843316481,2398
UCNIFiHaLZkYASaWDdkC1njg,A&E,US,2006-09-20T09:31:22Z,11600000,7093136657,13042
UCJl0idSupgyRNT9uKfS9bxA,The Beverly Halls,US,2014-07-10T17:11:16Z,11300000,11073458845,5381
UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,,2012-05-28T17:33:43Z,10800000,2032412625,539
UChFs0d8syPIK6x8q4C6BrJw,Nutshell Animations,CA,2018-06-18T07:43:25Z,10600000,11328844179,4035
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,,2007-02-02T11:22:11Z,10500000,1077657419,346
UCKcWSiffY8MpZ3NKav8LeRA,motivationaldoc,US,2008-05-17T04:59:56Z,10400000,1795369197,6964
UC_gUM8rL-Lrg6O3adPW9K1g,WION,IN,2016-05-19T12:55:08Z,10300000,6385287415,250158
UCR6n79EOdY406JlZD8FEgyg,Doc Willie Ong,PH,2007-03-31T07:48:08Z,10200000,1642083583,7654
UC7IcJI8PUf5Z3zKxnZvTBog,The School of Life,,2010-05-18T16:46:57Z,9560000,972544107,1132
UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,US,2013-11-20T15:11:51Z,9260000,3435482328,6784
UCoMdktPbSTixAyNGwb-UYkQ,Sky News,GB,2006-06-12T12:03:23Z,9050000,5531011994,70180
UCL_f53ZEJxp8TtlOkHwMV9Q,Jordan B Peterson,US,2013-03-30T02:56:38Z,8840000,1011213195,1493
UCjvlGpg8tXylzRqdFExxUZw,SumanTV,IN,2013-11-25T16:39:40Z,8790000,4861850515,141770
UCoaI5is-bILT3XVctKl5hpA,The Bentist,US,2020-01-02T19:09:44.583717Z,8500000,7719872147,1706
UCvQECJukTDE2i6aCoMnS-Vg,Big Think,US,2006-10-01T18:37:05Z,8460000,986518394,9837
UC34Rt4YFAwwOz-7oXJ07Z8w,Lala Tv,,2016-11-24T02:13:27Z,8350000,8632359604,2169
UCPxMZIFE856tbTfdkdjzTSQ,BeerBiceps,IN,2014-12-21T18:03:23Z,8270000,2689600490,4067
UC53cAvFeWsNwsfCQnJmLjDQ,Satvic Movement,IN,2013-08-25T12:07:11Z,8180000,1317920426,481
UCsEukrAd64fqA7FjwkmZ_Dw,GQ,US,2008-01-16T16:12:23Z,8150000,4005365522,3786
UCsLF0qPTpkYKq81HsjgzhwQ,growingannanas,DE,2017-01-20T19:34:55Z,7880000,4320803759,1195
UCMp-0bU-PA7BNNR-zIvEydA,Noel Deyzel,ZA,2008-03-05T14:18:52Z,7650000,4238865979,496
UChO8h2G8UjOVc081rgYU8XQ,Vibe Music,NL,2016-08-28T03:05:25Z,7640000,7125144162,2095
UCP6HGa63sBC7-KHtkme-p-g,USA TODAY,US,2006-03-20T16:16:43Z,7430000,5017062647,30041
UC2D2CMWXMOVWx7giW1n3LIg,Andrew Huberman,US,2013-04-21T14:41:36Z,7290000,470823469,437
