channelId,title,country,publishedAt,subscriberCount,viewCount,videoCount
UC5aDb2qEoiY1a_pxkPfV8BA,Inspire Success 07 ,,2023-12-02T15:23:26.017371Z,82600,25256575,72
UC5aeDGD1KSx3VjMA1NTCpoQ,Utkarsh Bhardwaz,IN,2020-11-21T10:37:13.268081Z,30900,13391685,217
UC76lfIs6His4b7dd9IR6dcA,Symotion,GB,2025-06-11T11:17:44.475825Z,496,451118,8
UCDepXzkz8fxUQsq3W03gqgA,Dominating Motivation,US,2022-12-02T05:05:32.553299Z,587000,333691459,864
UC3kSS-Lb9jEDvPqB_xWlM-A,DenzelMotivates ,US,2024-11-30T05:28:38.63943Z,131000,41761050,624
UCHHSW6yfj6EfA9__O29C1Jw,Gunu Bindass Medico,IN,2023-01-27T16:30:05.578881Z,242000,158789632,354
UCOxxYYX_ybcblj59ri3ZUXA,Miss optimistic,IN,2023-07-01T23:05:00.656718Z,249000,217549217,801
UCKyVE9vRA-3XawGuS6F2hxw,Goat Mentality,,2025-09-30T03:40:03.453925Z,7060,10194803,82
UCR7j7XeuVljxHzoPE9rY4UQ,Warriormentality,,2024-01-15T18:25:18.314039Z,4950,6959070,116
UCSZyl9beiOKcMBuR6tO0q2A,Limitless Motivation,GB,2024-04-07T11:14:59.574055Z,179000,11115023,70
UCG86cnlmMLaCG7GT2xysuDA,CricVenky16,IN,2024-02-13T04:28:35.498802Z,45100,49540517,913
UC6S7CIl54VS1SmTx0pPA2gw,TG Inspiration,NP,2023-03-06T08:40:29.751392Z,51400,13738468,16
UC00e5CQBgPm7oOv7v-19r5A,EmpowerEdge,MX,2018-07-22T23:43:06Z,14200,9842891,1041
UC8ZLta8aLfESsP1Wr1AcroQ,Bold Vision 101,US,2024-05-14T06:18:18.898042Z,123000,94233204,134
UC-rdtxW_qtmvV1XkCso9ZEg,GrindX,,2025-08-26T13:03:58.030377Z,7960,11413683,107
UCLHcGYPaBfy3T88-uhuvvYQ,Study Bubble,,2022-12-30T20:54:46.167587Z,19200,5420165,125
UCOI1bErXhpCPySV0aZCkIJw,Quotation_official,,2024-09-10T17:08:12.373224Z,253000,219732676,1092
UCLmlXI2pNOKg6VMB19JawBA,Hi TV SPIRITUAL,IN,2020-08-02T17:31:01.078553Z,133000,34330481,881
UCS7j3ICQgdsMzdByVdn-Ncg,Sam Motivation ,US,2025-01-20T07:13:35.106245Z,13100,2743923,620
UC9vLdyHatOhRrCwQXq3HmQQ,Motivation Ark,US,2020-07-11T03:26:10.018667Z,1680000,131793056,346
UCLVVtaAU_qVKNF-fi4MTCXQ,SDM Rahul Sinha,IN,2019-10-21T17:20:51.888016Z,789000,119246993,1377
UCNaW0o0S6l7TgdJeFoBQFcw,study motivation ,,2022-12-30T01:49:10.188466Z,24700,13833376,147
UCIdhe351V3i_w-eFpz55kOQ,Vetri thiru boy,,2014-04-25T07:11:51Z,1720,606716,88
UCK-8Qnm0jg_7LL-RGF8NR1A,Echoes of Time,US,2024-10-13T15:39:56.474493Z,18700,13574543,180
UCB3E6rIUF7ohnHcGOx3pq0A,Beliver-yts,,2025-08-09T12:46:00.372244Z,12800,10877928,24
UCAPByrKU5-R1emswVlyH_-g,Motiversity,CA,2015-06-23T03:00:10Z,4060000,584819210,1134
UCERqjaRQl5tpMgd5oqeyM6w,TeamSelfBelievers,US,2025-04-09T15:52:09.263379Z,12500,1769775,575
UC0-XKFPQiohIojzA87OKo1Q,Priyanka Tilawat,IN,2021-02-26T13:09:05.979179Z,176000,89441180,807
UCAKODXzlgDRnTfRRFLT4E6g,Daisly,,2022-12-11T04:13:17.881781Z,33100,10580854,286
UC3gWv-0A3qEeFBJESlsJa0g,HESMotivation,US,2015-03-24T11:01:25Z,816000,3010481,98
UC9qJ1saDbU-4AQSagss9K-A,S.U.F.,PK,2024-07-14T08:18:03.035986Z,3190,1019001,14
UCA-mWX9CvCTVFWRMb9bKc9w,Dan Martell,CA,2011-10-08T05:11:03Z,2230000,258643060,2744
UC30Gu_64Xj2f8MI2Qf1r5Nw,Success Motivate,IN,2023-07-20T10:09:27.164108Z,636000,178251269,273
UCKt_XifNtz7um3UUYuTzVYQ,Study Fighters Spot,LK,2023-09-11T06:49:21.019958Z,123000,53191875,758
UC3Ek3fDt-W8hJeRu1CU_XSA,Exphub motivation,IN,2022-06-26T19:20:10.371929Z,602000,113087327,881
UCH2p7ZB78J4MGAd73ZnUrdA,Little smart Edits ,,2021-06-15T13:32:45.647502Z,7020,5868454,283
UCOcgHpwJRIWZhAxZFjFPK1A,Healthy Mindset,CA,2020-01-14T12:09:25.540855Z,251000,8996926,295
UCQ3aVUkcKzdcuI_XbIl5Afw,Eduport Class 10 CBSE,IN,2024-11-01T08:30:58.110413Z,44700,18533166,302
UCQyEZW4mIYzMVZUA3uruHNw,Quiet Hustler,US,2021-07-22T16:17:33.426408Z,18500,11667081,157
UC8njOLnH3_RbjnYuG3mLwow,Fit With Kartik,,2021-07-25T20:08:11.16039Z,21900,19932747,226
UCEx8mZb_QTBaupEhzHJqPKA,HW 💸,,2023-05-22T22:29:26.93379Z,47800,21784306,127
UCSvhGFRw3nMhqDtHc--OEFA,The Udaari,IN,2019-05-30T15:49:18Z,279000,244187504,394
UC4VgIfg_wJyTcI1VuuPtCDA,DHEERAJ SRIVASTAVA ,,2020-07-15T03:33:15.668678Z,1120,488930,63
UC8yD5qwYUs6vhSjoCHutX6A,penny docs,,2018-04-29T15:55:44Z,20300,22637643,506
UC2OoxsHy3_WrbKbwyy-pnbg,Stoic Legend,BD,2024-06-23T16:17:52.150632Z,99700,18485354,272
UCL7e_shRj3yQiszo7hqc25A,Motivational Hub,IN,2023-11-30T18:33:53.355162Z,26700,9801410,493
