channelId,title,country,publishedAt,subscriberCount,viewCount,videoCount
UC6eh59CVGAMTjxo6q9gCMZA,Mewing By Mike Mew,GB,2011-10-27T16:30:24Z,613000,70957432,564
UCnSg7AKhnTGnac-3zGdv5Qg,Doctor O'Donovan,GB,2014-07-22T14:05:45Z,525000,159166272,771
UCApL0DjgL7e1ZmvMM40A9Uw,Dr James Gill,GB,2018-11-08T22:57:18Z,283000,84628751,981
UCQ7MbR2O0DyeT7uSSzJTu9w,Top Doctors UK,GB,2016-12-21T15:56:40Z,164000,44431276,2996
UCr2dMYhh67-qDn_lDnKqbQw,Electric Teeth,GB,2014-11-20T09:15:51Z,82900,36724413,706
UCzAuczZHeat2cm8E2Xf2e3g,University of Lancashire,GB,2006-10-06T09:23:25Z,14100,5783463,2012
UCL1VFZ5MQIWArXAV2vCcCnQ,Dr Swati Maan,GB,2024-03-23T11:59:25.23181Z,10400,145113,207
UCNmJ8HshoVH6kjtgeGUZOoA,Yewande,GB,2012-02-15T17:46:49Z,8880,988612,53
UC1ZZZQYW576aEp82kLGZEhA,Straight Teeth Direct,GB,2015-12-08T14:54:21Z,5900,4734844,425
UCD-mnYceIxddiQPMcVrLmqg,Smile Team Turkey,GB,2019-07-26T12:04:17Z,931,327492,237
UC7vQrgNCZN0NXpXHZyExRSA,Bass Orthodontics,GB,2011-10-11T09:13:35Z,330,654264,31
