channelId,title,country,publishedAt,subscriberCount,viewCount,videoCount
UCDUlDJcPPOOQK-3UrxEyhAQ,Roberta's Gym,GB,2015-04-10T06:29:51Z,6760000,1222229976,2542
UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,GB,2007-11-20T18:53:34Z,6500000,521609417,1264
UCag7XoiJLutjBTsM0tAzUzg,Lucy Wyndham-Read,GB,2012-05-21T10:14:22Z,2610000,463777843,1188
UCWsslCoN3b_wBaFVWK_ye_A,Hamza,GB,2013-08-27T20:06:54Z,2230000,359007291,1318
UCl8TEoIOnMq_5ntJOYMq-Zg,Dr Julie,GB,2013-05-19T18:30:02Z,1880000,416198146,235
UCXGeAZFwWu-zMxskaDuXjmg,Will Harlow – Over-Fifties Specialist Physio,GB,2018-10-21T13:28:04Z,1520000,138590150,731
UC5HdAapbvqWN65GIqpWWL3Q,Charlie Follows,GB,2019-08-28T13:57:36Z,1220000,175149502,1150
UCtVQxTSqc2KhqkO0-Z1yidQ,Milton Chiropractic Clinic Cambridge,GB,2015-10-29T17:23:18Z,1010000,69331730,162
UC1bHlccT8JOMAWm5wMuzG9A,Tom Morrison,GB,2012-09-21T10:22:26Z,606000,80835350,2202
UCnSg7AKhnTGnac-3zGdv5Qg,Doctor O'Donovan,GB,2014-07-22T14:05:45Z,525000,159166272,771
UC4yrmbFQJFOL9Cyj9yux-ew,Alex Crockford,GB,2014-02-04T18:14:47Z,392000,65985153,1106
UChTmMMt5nuRBEdmCItFHmAw,Penguin Books UK,GB,2006-09-28T12:37:00Z,381000,57576162,1007
UCJDtvXkJAisYV-D0VOQfYVQ,Dr Dan Maggs,GB,2018-06-27T14:54:01Z,283000,15247763,74
UCLm7wFMcJzcx6hjTuJ_VJfw,Laura Try,GB,2012-09-30T21:33:48Z,208000,29948801,232
UCNAZjyS5XZQVUCWjyOPkqjQ,www.sportsinjuryclinic.net,GB,2007-10-13T12:30:21Z,142000,65722617,704
UCkq9D1zjzszGX8Q-kI_hFCA,Dr Alex George,GB,2019-06-15T14:41:43Z,134000,7506188,534
UCfRmhVCLDCDi0NaJB_GziOA,Dr Jack Close,GB,2011-09-10T13:23:26Z,86800,4709034,81
UCn92wpnGtS3kjYFq_pC6irg,Abi Mills Yoga,GB,2020-03-30T12:35:37.129255Z,78600,23636555,907
UC9uLibcjXg2UdWpMH7XBSqA,James White - Trainer,GB,2013-11-09T09:10:58Z,50900,21132237,2325
UCLQTJx0bqjsotoCwjF1VveA,Levitex Sleep,GB,2019-04-09T12:37:30Z,36300,15115045,326
UCeuAh6gdvtDXhw54Vg6X7eQ,Ollie Martin,GB,2016-12-10T19:43:04Z,33600,40346457,700
UCjLcFCCW2DT1kbU4znZcM0Q,Rose clinic performance physiotherapy,GB,2013-12-05T01:26:54Z,22200,1871595,698
UC3uu0GIkMzgXZbDmZA_cAhA,The Hip Physio,GB,2021-07-11T14:59:06.342795Z,10100,1579198,203
UCxyKbBIaFZExZt7T6mB-_mQ,ChiroCarl,GB,2020-03-03T17:50:43.293747Z,7340,530095,34
UCdcOTYg7FzwHdsrhNAsWlCQ,Intense Physio ,GB,2022-03-15T12:44:20.805256Z,3030,2088370,414
UChNnT7aV0T8tUvmkyMI9qqg,The Dr. Mo Show,GB,2009-01-22T18:24:47Z,1830,451453,28
