channelId,title,country,publishedAt,subscriberCount,viewCount,videoCount
UC3tBvTIvI6cF_QrDOgIr7Wg,Lizzy Turner,,2021-12-19T13:16:35.535889Z,22200,30817779,127
UC7SfYwOg6bdH5IJmBXGEQ_A,Keisha Craft,ID,2017-01-01T18:46:40Z,45300,16909734,101
UC5qTSu1G4FEUQhsIgjpIP4g,Intellectual Meathead,,2015-03-15T15:59:44Z,19900,1635281,59
UC8Zc8bmu5vXCZHtsETlf0rw,Sticx Psycho,IN,2025-07-02T04:08:02.498251Z,14500,848724,12
UC9g91g_wPPLsZmoOHwdpdEg,Strengthinsilence2024,US,2021-10-29T11:00:42.496674Z,28700,23107207,505
UC8QKZGyO9enPl9pnxLXcuDg,Liya Huang,,2010-06-20T00:10:07Z,18900,30703136,243
UC-D4giU0oL5NjHtnkDcNH3A,ronxhall,,2023-12-13T21:46:23.858454Z,69600,2856801,365
UC8olPvVdCO5RNkHN1OMTe6w,Abhishek Kashyap,IN,2024-05-12T08:23:00.43585Z,17000,5478116,123
UC0Us7gphKI1kxLDbu8ZNd_g,Time For Growth,IN,2025-06-27T05:09:39.486939Z,68400,3023219,30
UCA3-DncdMzSjxRznVIIhGJQ,Starreman,,2024-09-18T20:12:07.331165Z,25200,17741222,85
UCF_EF5ZtXApYHSitZCO2bcg,Verse Creates,CA,2024-12-13T15:27:08.372794Z,21500,1004526,11
UCCDsfk3QrvshHoNcsIIfjnA,Andrew Major - Stronger Minds,GB,2019-08-23T16:06:05Z,33700,3258053,98
UCEuZHAfLXCAFHAjm1k5dqpw,Adam Bank,,2022-09-12T21:18:02.932552Z,14800,8301027,263
UCETapYTomuLp5003hqDMJzw,Digital Reminders,ES,2017-01-11T12:31:21Z,74900,4101645,132
UCFVIxT6dqRsInZPjCPEUHUw,Aiden Heaney,GB,2016-09-12T13:48:49Z,64000,21363758,977
UCKcv--q6gLrYjUWu9g0lo_w,Healing Energy Universe,US,2025-02-07T22:46:11.700852Z,15700,2018602,105
UCGrgWhui_7TMvwCZSc2vhZw,Better mindset ,,2022-04-26T06:18:35.523339Z,64400,19766293,174
UCZ03ijYyMtd5IcXI1w9eoog,Monica Villegas,,2018-06-23T22:10:11Z,30700,16328750,803
UCZrNVG1fJIgqYjv2YwumzKA,Dr Alex Howard,GB,2012-01-27T18:36:56Z,70500,4374051,640
UCY6gAmidAQHnI389GLdAK5g,Vision WITHIN,,2022-01-18T11:44:15.409749Z,41400,3501939,125
UCZDSz1E3rJ18vefmK7Hw4YA,Harper O'Connor,,2021-02-03T06:58:49.685098Z,76500,2793584,49
UCYuL7liLRob-H-m793_WVGw,Luxury Truth ,US,2021-06-20T07:57:21.637127Z,60200,32078593,1166
UCS6iQ6FvNA9o-sEv0HV9Unw,APEXISM,IN,2023-02-02T08:20:24.179778Z,22000,19316311,213
UCR83RRXHzXrEQbu_ZQmPMSg,Stevie Wonder - Topic,,2013-07-01T16:08:06Z,34800,1171345798,6081
UCRExvJRqpcL3o-NF6NKLnYA,Anna Bocca,DE,2024-03-08T15:29:21.6034Z,41700,942944,13
UCXEYVqPJiADhwdZBr8T8DaA,PosiTVty,US,2022-11-18T04:56:55.371834Z,48100,11475375,163
UCnC9EtbyuWFVYbRTG1fzu7A,ImproveNow,,2022-01-16T15:45:28.752115Z,14900,1221877,58
UCeRkfICkvOfY-mI5zlw_rqg,Glowuptipsforyou,NP,2021-12-08T11:44:47.548417Z,11500,14193094,152
UCcBHjcRLP0ls1L2fgWYV3pQ,Jordan Peterson Fan Club,GB,2019-04-02T12:27:00Z,16400,2679201,138
UCjE9DN354DXEFZRi4mJHFgg,Billionaire Crown ,IN,2021-09-08T17:01:03.858725Z,23900,3252192,471
UCkGDhYZ1ebXZYbPSLZQeHsw,Empowered Healing with Louise Hay,,2024-12-21T18:22:59.784761Z,15400,1159159,201
UCcd25Dl0Q8wSSuVsqkV7HPw,Shiksha Target,IN,2019-12-31T17:17:41.331098Z,57200,24626234,2781
UClZgDvInKsQcd-0nQqhx2kg,Indie Sounds,BR,2023-08-07T12:03:11.162739Z,44400,13760941,78
UCd-7ijy51DKYeaA2-2FZg_A,Ankesh | Self improvement ,IN,2023-03-11T04:50:53.417925Z,17400,6517011,126
UCbtUntPqtHFljo5BeP784tw,Kevin Pond - Meditation,US,2021-12-31T04:01:59.950764Z,62200,9100587,566
UChBjCaJyswxsEqz26TZrWRw,Center on the Developing Child at Harvard University,,2010-09-29T17:52:07Z,66700,21699914,199
UCarWBJYMNqJxgn6n8_htCTQ,"Mind, the mental health charity",GB,2007-09-10T21:07:46Z,49000,11305535,502
UClkRVLq877MigEezZqma0XQ,Disha Negi,IN,2024-06-26T17:36:37.753175Z,12700,8661527,124
UCxBl72R4EzfzROLp1xok4Mg,Positive Suggestion,GB,2016-04-18T19:08:16Z,66500,9871627,181
UCqlmwAUmsqCb8VPYTq2Ul3Q,Rise With Pawan,IN,2020-05-09T11:35:09.836502Z,51000,31170577,140
UCvZ3D_t8E_QXsJ49R9e79QQ,Hemant Paliwal,,2017-10-10T09:04:19Z,57600,6447363,798
UCoO1dS6Eml7VwK8eIc64Lwg,The Kitab Official,,2024-01-01T12:13:03.358611Z,57600,15061952,547
UCzhBx-Gd734kdvmthVili-w,Deandra K,US,2015-09-18T22:13:09Z,37100,2166003,365
UCpdQAfRouZgbDcfFjEOx4bQ,Beautiful Chorus - Topic,,2017-04-25T07:46:29Z,14100,16336025,195
UCqRnyszSh6EslfZA-BJfftw,Joey Schweitzer,CA,2020-01-15T00:54:08.340118Z,51400,901528,51
